"id","name","lat","lon","is_active","week_day","start_time","created_at","updated_at"
"1","Clandestina 031","-19.922750061807946","-43.94514708532836","1","saturday","19:00","1732049815","1732049815"
"2","Batalha da P7","-19.9194006","-43.9386948","1","thursday","19:00","1732049815","1732049815"
"3","Batalha da Fex","-19.8089126","-44.0007821","1","saturday","19:30","1732049815","1732049815"
"4","Batalha dos Predim","-19.8201389","-43.9881944","1","saturday","19:00","1732049815","1732049815"
"5","Batalha do Coreto","-19.7991149","-44.0131654","1","wednesday","20:00","1732049815","1732049815"
